,Type,Count,Category
0,Light Drinkers,5.5,Caffeine
1,Light Drinkers,3.1,Taste 
2,Light Drinkers,5.5,Effectiveness
3,Heavy Drinkers,5.4,Caffeine
4,Heavy Drinkers,4.3,Taste 
5,Heavy Drinkers,6.0,Effectiveness
